trace,traceOrder,location,longitude,latitude
0,0,"121.347,31.392",121.347,31.392
1,0,"121.489,31.270",121.489,31.270
2,0,"121.381,31.251",121.381,31.251
3,0,"121.471,31.325",121.471,31.325
4,0,"121.407,31.291",121.407,31.291
0,1,"121.348,31.389",121.348,31.389
1,1,"121.489,31.271",121.489,31.271
2,1,"121.382,31.251",121.382,31.251
3,1,"121.472,31.325",121.472,31.325
4,1,"121.407,31.292",121.407,31.292
0,2,"121.349,31.390",121.349,31.390
1,2,"121.490,31.270",121.490,31.270
2,2,"121.382,31.252",121.382,31.252
3,2,"121.473,31.324",121.473,31.324
4,2,"121.408,31.291",121.408,31.291
0,3,"121.350,31.390",121.350,31.390
1,3,"121.490,31.271",121.490,31.271
2,3,"121.382,31.253",121.382,31.253
3,3,"121.473,31.325",121.473,31.325
4,3,"121.411,31.288",121.411,31.288
0,4,"121.351,31.390",121.351,31.390
1,4,"121.491,31.271",121.491,31.271
2,4,"121.382,31.254",121.382,31.254
3,4,"121.474,31.322",121.474,31.322
4,4,"121.414,31.288",121.414,31.288
0,5,"121.351,31.391",121.351,31.391
1,5,"121.492,31.270",121.492,31.270
2,5,"121.383,31.250",121.383,31.250
3,5,"121.474,31.323",121.474,31.323
4,5,"121.417,31.288",121.417,31.288
0,6,"121.352,31.391",121.352,31.391
1,6,"121.492,31.271",121.492,31.271
2,6,"121.383,31.251",121.383,31.251
3,6,"121.475,31.320",121.475,31.320
4,6,"121.418,31.287",121.418,31.287
0,7,"121.353,31.391",121.353,31.391
1,7,"121.493,31.269",121.493,31.269
2,7,"121.383,31.254",121.383,31.254
3,7,"121.475,31.321",121.475,31.321
4,7,"121.418,31.288",121.418,31.288
0,8,"121.353,31.394",121.353,31.394
1,8,"121.493,31.270",121.493,31.270
2,8,"121.384,31.250",121.384,31.250
3,8,"121.475,31.322",121.475,31.322
0,9,"121.354,31.391",121.354,31.391
1,9,"121.494,31.268",121.494,31.268
2,9,"121.385,31.250",121.385,31.250
3,9,"121.476,31.320",121.476,31.320
0,10,"121.355,31.391",121.355,31.391
1,10,"121.494,31.269",121.494,31.269
2,10,"121.386,31.250",121.386,31.250
3,10,"121.477,31.320",121.477,31.320
0,11,"121.356,31.389",121.356,31.389
1,11,"121.495,31.269",121.495,31.269
2,11,"121.387,31.250",121.387,31.250
3,11,"121.478,31.320",121.478,31.320
0,12,"121.356,31.390",121.356,31.390
1,12,"121.495,31.270",121.495,31.270
2,12,"121.387,31.251",121.387,31.251
3,12,"121.479,31.320",121.479,31.320
0,13,"121.356,31.391",121.356,31.391
1,13,"121.496,31.270",121.496,31.270
2,13,"121.388,31.251",121.388,31.251
3,13,"121.480,31.320",121.480,31.320
0,14,"121.357,31.388",121.357,31.388
1,14,"121.497,31.270",121.497,31.270
2,14,"121.388,31.252",121.388,31.252
3,14,"121.481,31.320",121.481,31.320
0,15,"121.357,31.389",121.357,31.389
1,15,"121.497,31.271",121.497,31.271
2,15,"121.389,31.251",121.389,31.251
3,15,"121.482,31.320",121.482,31.320
1,16,"121.498,31.272",121.498,31.272
2,16,"121.389,31.252",121.389,31.252
3,16,"121.483,31.320",121.483,31.320
1,17,"121.499,31.272",121.499,31.272
2,17,"121.390,31.251",121.390,31.251
3,17,"121.484,31.320",121.484,31.320
1,18,"121.499,31.273",121.499,31.273
2,18,"121.391,31.251",121.391,31.251
1,19,"121.500,31.273",121.500,31.273
2,19,"121.392,31.251",121.392,31.251
1,20,"121.500,31.274",121.500,31.274
2,20,"121.393,31.248",121.393,31.248
1,21,"121.501,31.274",121.501,31.274
2,21,"121.393,31.250",121.393,31.250
1,22,"121.502,31.273",121.502,31.273
2,22,"121.394,31.248",121.394,31.248
1,23,"121.502,31.274",121.502,31.274
2,23,"121.394,31.249",121.394,31.249
1,24,"121.503,31.273",121.503,31.273
2,24,"121.394,31.250",121.394,31.250
1,25,"121.504,31.273",121.504,31.273
2,25,"121.395,31.248",121.395,31.248
1,26,"121.504,31.274",121.504,31.274
2,26,"121.396,31.248",121.396,31.248
1,27,"121.505,31.274",121.505,31.274
2,27,"121.397,31.248",121.397,31.248
1,28,"121.505,31.275",121.505,31.275
2,28,"121.398,31.248",121.398,31.248
1,29,"121.506,31.275",121.506,31.275
2,29,"121.399,31.248",121.399,31.248
1,30,"121.506,31.276",121.506,31.276
2,30,"121.400,31.248",121.400,31.248
1,31,"121.506,31.277",121.506,31.277
2,31,"121.401,31.248",121.401,31.248
1,32,"121.507,31.277",121.507,31.277
2,32,"121.402,31.248",121.402,31.248
1,33,"121.507,31.278",121.507,31.278
2,33,"121.403,31.248",121.403,31.248
1,34,"121.507,31.279",121.507,31.279
2,34,"121.404,31.248",121.404,31.248
1,35,"121.508,31.279",121.508,31.279
2,35,"121.404,31.249",121.404,31.249
2,36,"121.405,31.249",121.405,31.249
2,37,"121.406,31.248",121.406,31.248
2,38,"121.406,31.249",121.406,31.249
2,39,"121.407,31.248",121.407,31.248
